psa_iter,duration,dose,comp,mean_fm
4,16,225,0.0,1.138629001709161
4,16,225,0.25,0.844608455334625
4,16,225,0.5,0.5582719923521666
4,16,225,0.75,0.2818002511716421
4,16,300,0.0,1.4287003659581883
4,16,300,0.25,1.0681820411927048
4,16,300,0.5,0.7163865708128667
4,16,300,0.75,0.3549262313567957
4,16,375,0.0,1.7669183572982488
4,16,375,0.25,1.3156630122800794
4,16,375,0.5,0.8700944610888647
4,16,375,0.75,0.4556705520555757
4,16,450,0.0,2.111994603780555
4,16,450,0.25,1.5915178817780535
4,16,450,0.5,1.0542449133233802
4,16,450,0.75,0.5247383186895607
4,24,0,0.0,0.0
4,24,0,0.25,0.0
4,24,0,0.5,0.0
4,24,0,0.75,0.0
4,24,75,0.0,0.5869512921743287
4,24,75,0.25,0.4430345548347048
4,24,75,0.5,0.2976605111835003
4,24,75,0.75,0.1481364024988696
4,24,150,0.0,1.1758570237057935
4,24,150,0.25,0.895869417586049
4,24,150,0.5,0.5843538032744143
4,24,150,0.75,0.28442296520956156
4,24,225,0.0,1.6887251370982992
4,24,225,0.25,1.2747297464277818
4,24,225,0.5,0.8327063252911666
4,24,225,0.75,0.430558761850469
4,24,300,0.0,2.175150340421059
4,24,300,0.25,1.6121825575306425
4,24,300,0.5,1.0708824310075804
4,24,300,0.75,0.5410289704340394
4,24,375,0.0,2.651011959123461
4,24,375,0.25,1.9637892157704964
4,24,375,0.5,1.3260032478167822
4,24,375,0.75,0.6735250116194939
4,24,450,0.0,3.151671190345943
4,24,450,0.25,2.3599436587561833
4,24,450,0.5,1.5719704434281707
4,24,450,0.75,0.8047946093134083
5,8,0,0.0,0.0
5,8,0,0.25,0.0
5,8,0,0.5,0.0
5,8,0,0.75,0.0
5,8,75,0.0,0.19115377535892622
5,8,75,0.25,0.143110961903707
5,8,75,0.5,0.09576660727327589
5,8,75,0.75,0.04699675386067042
5,8,150,0.0,0.3807198219952195
5,8,150,0.25,0.2883316564327811
5,8,150,0.5,0.1897705376537528
5,8,150,0.75,0.09574619556242776
5,8,225,0.0,0.5589291901061698
5,8,225,0.25,0.41062814749241183
5,8,225,0.5,0.27551268057883543
5,8,225,0.75,0.13568116959403767
5,8,300,0.0,0.705718152052247
5,8,300,0.25,0.5326601743111697
5,8,300,0.5,0.35582534580935876
5,8,300,0.75,0.17952990342596917
5,8,375,0.0,0.8499075431410131
5,8,375,0.25,0.6336389115981664
5,8,375,0.5,0.4256677088940744
5,8,375,0.75,0.2158692707359686
5,8,450,0.0,0.9819290734109088
5,8,450,0.25,0.7213403176798563
5,8,450,0.5,0.48627558434006174
5,8,450,0.75,0.24010679531285115
5,12,0,0.0,0.0
5,12,0,0.25,0.0
5,12,0,0.5,0.0
5,12,0,0.75,0.0
5,12,75,0.0,0.28642389476145946
5,12,75,0.25,0.2182075752380551
5,12,75,0.5,0.14144395832772005
5,12,75,0.75,0.0714849142708722
5,12,150,0.0,0.5759466704831734
5,12,150,0.25,0.43546641501164757
5,12,150,0.5,0.2867503858777401
5,12,150,0.75,0.14152689560495804
5,12,225,0.0,0.827190216131876
5,12,225,0.25,0.6176637137146395
5,12,225,0.5,0.4165248206195111
5,12,225,0.75,0.2097471051357237
5,12,300,0.0,1.0661880340072498
5,12,300,0.25,0.7929298913839372
5,12,300,0.5,0.5325148202075211
5,12,300,0.75,0.26852797040333665
5,12,375,0.0,1.2770915950752588
5,12,375,0.25,0.9560595757115486
5,12,375,0.5,0.644599061749616
5,12,375,0.75,0.31931577273772976
