comp,dose,delta_fm
0.0,75,0.4660750496711739
0.0,75,0.2450675127712265
0.0,75,0.3168202319825757
0.0,75,0.3370126667534077
0.0,75,0.189597556342827
0.0,75,0.2578275186580442
0.0,75,0.2075608448193875
0.0,75,0.2631475453321191
0.0,75,0.4849866489579834
0.0,75,0.3423610281206346
0.0,75,0.2406264353329042
0.0,75,0.3617091409741411
0.0,75,0.4808014361204338
0.0,75,0.2138341966526852
0.0,75,0.2686165005069703
0.0,75,0.2375129412063441
0.0,75,0.3516841180307274
0.0,75,0.3532967310209119
0.0,75,0.4286774689046899
0.0,75,0.1971387991766647
0.0,75,0.3740514291817075
0.0,75,0.3788861010432403
0.0,75,0.241029395274904
0.0,75,0.2616164938084231
0.0,75,0.4095603834622656
0.0,75,0.2595186465269603
0.0,75,0.3649188552691151
0.0,75,0.2615653959857966
0.0,75,0.4261786963487738
0.0,75,0.1540768989984738
0.0,75,0.2898128990575335
0.0,75,0.2719812379204868
0.0,75,0.4383038074216269
0.0,75,0.2607187717352715
0.0,75,0.1933508019070831
0.0,75,0.4122219698153009
0.0,75,0.4650482111972474
0.0,75,0.3429631595563707
0.0,75,0.3250545583623509
0.0,75,0.6163237308448579
0.0,75,0.2701701496676565
0.0,75,0.3495718894158691
0.0,75,0.3156130406150437
0.0,75,0.3279154220874764
0.0,75,0.3143391265400438
0.0,75,0.3443744371301133
0.0,75,0.3644779693606929
0.0,75,0.2536801712041266
0.0,75,0.2753686518574092
0.0,75,0.2191244173238359
0.0,75,0.2531628966368675
0.0,75,0.2365666352383592
0.0,75,0.3635852652783856
0.0,75,0.3972257424934564
0.0,75,0.3603261738146713
0.0,75,0.3618372192671188
0.0,75,0.4215929931386373
0.0,75,0.5021432972576854
0.0,75,0.3563548293093916
0.0,75,0.2943175828454404
0.0,75,0.4188091818262424
0.0,75,0.2553577199630691
0.0,75,0.3220028121653856
0.0,75,0.4243598501210899
0.0,75,0.4001921677180057
0.0,75,0.3359203095354396
0.0,75,0.4102781033184853
0.0,75,0.3962633458348082
0.0,75,0.4003441474702741
0.0,75,0.3810486097134308
0.0,75,0.3554287745312701
0.0,75,0.2704553915562898
0.0,75,0.2643660017876187
0.0,75,0.4501119583265041
0.0,75,0.4231824224052389
0.0,75,0.3022282308668446
0.0,75,0.3323009066989866
0.0,75,0.2120264317555091
0.0,75,0.3399914006468144
0.0,75,0.3109573414828089
0.0,75,0.2630953103432815
0.0,75,0.4360799327691005
0.0,75,0.2961264367597548
0.0,75,0.4877096791989235
0.0,75,0.4112744232534943
0.0,75,0.4485649855296806
0.0,75,0.6929978924909783
0.0,75,0.3293154837142333
0.0,75,0.4356616712915237
0.0,75,0.2088439876165601
